2026-01-06 22:15:50,248 - ALERT - SUSPICIOUS ACTIVITY: User 1005 | Amount: $9500.0 | Prob: 0.90
2026-01-06 22:22:57,480 - ALERT - SUSPICIOUS ACTIVITY: User 1038 | Amount: $830.57 | Prob: 0.99
2026-01-06 22:23:17,643 - ALERT - SUSPICIOUS ACTIVITY: User 1064 | Amount: $843.5 | Prob: 0.99
2026-01-06 22:23:33,761 - ALERT - SUSPICIOUS ACTIVITY: User 1018 | Amount: $892.96 | Prob: 0.99
2026-01-06 22:23:41,823 - ALERT - SUSPICIOUS ACTIVITY: User 1040 | Amount: $835.29 | Prob: 0.99
2026-01-06 22:24:48,353 - ALERT - SUSPICIOUS ACTIVITY: User 1087 | Amount: $16797.18 | Prob: 0.90
2026-01-06 22:24:58,423 - ALERT - SUSPICIOUS ACTIVITY: User 1004 | Amount: $9517.14 | Prob: 1.00
2026-01-06 22:25:04,477 - ALERT - SUSPICIOUS ACTIVITY: User 1086 | Amount: $855.69 | Prob: 0.99
2026-01-06 22:25:10,532 - ALERT - SUSPICIOUS ACTIVITY: User 1009 | Amount: $10060.93 | Prob: 0.90
2026-01-06 22:25:20,628 - ALERT - SUSPICIOUS ACTIVITY: User 1030 | Amount: $16123.2 | Prob: 0.90
2026-01-06 22:28:22,621 - ALERT - SUSPICIOUS ACTIVITY: User 1052 | Amount: $11809.99 | Prob: 0.90
2026-01-06 22:28:52,874 - ALERT - SUSPICIOUS ACTIVITY: User 1037 | Amount: $14309.46 | Prob: 0.90
2026-01-06 22:29:13,042 - ALERT - SUSPICIOUS ACTIVITY: User 1020 | Amount: $8840.87 | Prob: 0.90
2026-01-06 22:29:31,178 - ALERT - SUSPICIOUS ACTIVITY: User 1032 | Amount: $18059.59 | Prob: 1.00
2026-01-06 22:29:35,212 - ALERT - SUSPICIOUS ACTIVITY: User 1089 | Amount: $895.54 | Prob: 0.99
